instance_id,user_query,model,examples_used,predicted_tables_and_columns,raw_output,predicted_tables_fq,predicted_columns_fq,example_selection,timestamp,eval_tables_precision,eval_tables_recall,eval_tables_f1,eval_columns_precision,eval_columns_recall,eval_columns_f1
local002,"Can you calculate the 5-day symmetric moving average of predicted toy sales for December 5 to 8, 2018, using daily sales data from January 1, 2017, to August 29, 2018, with a simple linear regression model? Finally provide the sum of those four 5-day moving averages?",azure/o3,,,,order_items;orders;product_category_name_translation;products,order_items.order_id;order_items.order_item_id;order_items.price;order_items.product_id;orders.order_id;orders.order_purchase_timestamp;product_category_name_translation.product_category_name;product_category_name_translation.product_category_name_english;products.product_category_name;products.product_id,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:15:52,,,,,,
local003,"According to the RFM definition document, calculate the average sales per order for each customer within distinct RFM segments, considering only 'delivered' orders. Use the customer unique identifier. Clearly define how to calculate Recency based on the latest purchase timestamp and specify the criteria for classifying RFM segments. The average sales should be computed as the total spend divided by the total number of orders. Please analyze and report the differences in average sales across the RFM segments",azure/o3,,,,customers;order_items;orders,customers.customer_id;customers.customer_unique_id;order_items.order_id;order_items.price;orders.customer_id;orders.order_id;orders.order_purchase_timestamp;orders.order_status,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:16:32,,,,,,
local004,"Could you tell me the number of orders, average payment per order and customer lifespan in weeks of the 3 custumers with the highest average payment per order, where the lifespan is calculated by subtracting the earliest purchase date from the latest purchase date in days, dividing by seven, and if the result is less than seven days, setting it to 1.0?",azure/o3,,,,customers;order_payments;orders,customers.customer_id;customers.customer_unique_id;order_payments.order_id;order_payments.payment_value;orders.customer_id;orders.order_id;orders.order_purchase_timestamp,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:17:00,,,,,,
local007,"Could you help me calculate the average single career span value in years for all baseball players? Please precise the result as a float number. First, calculate the difference in years, months, and days between the debut and final game dates. For each player, the career span is computed as the sum of the absolute number of years, plus the absolute number of months divided by 12, plus the absolute number of days divided by 365. Round each part to two decimal places before summing. Finally, average the career spans and round the result to a float number.",azure/o3,,,,player,player.debut;player.final_game;player.player_id,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:18:09,,,,,,
local008,"I would like to know the given names of baseball players who have achieved the highest value of games played, runs, hits, and home runs, with their corresponding score values.",azure/o3,,,,batting;player,batting.g;batting.h;batting.hr;batting.player_id;batting.r;batting.year;player.name_first;player.name_given;player.name_last;player.player_id,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:19:17,,,,,,
local009,What is the distance of the longest route where Abakan is either the departure or destination city (in kilometers)?,azure/o3,,,,airports_data;flights,airports_data.airport_code;airports_data.city;airports_data.coordinates;flights.arrival_airport;flights.departure_airport,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:19:41,,,,,,
local010,"Distribute all the unique city pairs into the distance ranges 0, 1000, 2000, 3000, 4000, 5000, and 6000+, based on their average distance of all routes between them. Then how many pairs are there in the distance range with the fewest unique city paires?",azure/o3,,,,airports_data;flights,airports_data.airport_code;airports_data.city;airports_data.coordinates;flights.arrival_airport;flights.departure_airport,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:19:59,,,,,,
local015,"Please calculate the fatality rate for motorcycle collisions, separated by helmet usage. Specifically, calculate two percentages: 1) the percentage of motorcyclist fatalities in collisions where parties (drivers or passengers) were wearing helmets, and 2) the percentage of motorcyclist fatalities in collisions where parties were not wearing helmets. For each group, compute this by dividing the total number of motorcyclist fatalities by the total number of collisions involving that group. Use the parties table to determine helmet usage (from party_safety_equipment fields).",azure/o3,,,,case_ids;collisions;parties,case_ids.case_id;case_ids.db_year;collisions.case_id;collisions.motorcycle_collision;collisions.motorcyclist_killed_count;parties.case_id;parties.party_safety_equipment_1;parties.party_safety_equipment_2;parties.statewide_vehicle_type,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:20:32,,,,,,
local017,In which year were the two most common causes of traffic accidents different from those in other years?,azure/o3,,,,case_ids;collisions,case_ids.case_id;case_ids.db_year;collisions.case_id;collisions.collision_date;collisions.pcf_violation;collisions.pcf_violation_category;collisions.pcf_violation_code;collisions.primary_collision_factor,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:20:53,,,,,,
local018,"For the primary collision factor violation category that was the most common cause of traffic accidents in 2021, how many percentage points did its share of annual road incidents in 2021 decrease compared to its share in 2011?",azure/o3,,,,case_ids;collisions,case_ids.case_id;case_ids.db_year;collisions.case_id;collisions.pcf_violation_category,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:21:11,,,,,,
local019,"For the NXT title that had the shortest match (excluding titles with ""title change""), what were the names of the two wrestlers involved?",azure/o3,,,,Belts;Matches;Wrestlers,Belts.id;Belts.name;Matches.duration;Matches.loser_id;Matches.title_change;Matches.title_id;Matches.winner_id;Wrestlers.id;Wrestlers.name,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:21:52,,,,,,
local026,"Please help me identify the top 3 bowlers who, in the overs where the maximum runs were conceded in each match, gave up the highest number of runs in a single over across all matches. For each of these bowlers, provide the match in which they conceded these maximum runs. Only consider overs that had the most runs conceded within their respective matches, and among these, determine which bowlers conceded the most runs in a single over overall.",azure/o3,,,,ball_by_ball;batsman_scored;extra_runs;match;player;team,ball_by_ball.bowler;ball_by_ball.innings_no;ball_by_ball.match_id;ball_by_ball.over_id;batsman_scored.ball_id;batsman_scored.innings_no;batsman_scored.match_id;batsman_scored.over_id;batsman_scored.runs_scored;extra_runs.ball_id;extra_runs.extra_runs;extra_runs.innings_no;extra_runs.match_id;extra_runs.over_id;match.match_date;match.match_id;match.team_1;match.team_2;player.player_id;player.player_name;team.name;team.team_id,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:22:25,,,,,,
local020,Which bowler has the lowest bowling average per wicket taken?,azure/o3,,,,ball_by_ball;batsman_scored;extra_runs;player;wicket_taken,ball_by_ball.ball_id;ball_by_ball.bowler;ball_by_ball.match_id;ball_by_ball.over_id;batsman_scored.ball_id;batsman_scored.match_id;batsman_scored.over_id;batsman_scored.runs_scored;extra_runs.ball_id;extra_runs.extra_runs;extra_runs.extra_type;extra_runs.match_id;extra_runs.over_id;player.player_id;player.player_name;wicket_taken.ball_id;wicket_taken.kind_out;wicket_taken.match_id;wicket_taken.over_id,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:22:57,,,,,,
local021,Could you calculate the average of the total runs scored by all strikers who have scored more than 50 runs in any single match?,azure/o3,,,,ball_by_ball;batsman_scored;player,ball_by_ball.ball_id;ball_by_ball.innings_no;ball_by_ball.match_id;ball_by_ball.over_id;ball_by_ball.striker;batsman_scored.ball_id;batsman_scored.innings_no;batsman_scored.match_id;batsman_scored.over_id;batsman_scored.runs_scored;player.player_id;player.player_name,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:23:23,,,,,,
local022,Retrieve the names of players who scored no less than 100 runs in a match while playing for the team that lost that match.,azure/o3,,,,ball_by_ball;batsman_scored;match;player;player_match,ball_by_ball.ball_id;ball_by_ball.innings_no;ball_by_ball.match_id;ball_by_ball.over_id;ball_by_ball.striker;batsman_scored.ball_id;batsman_scored.innings_no;batsman_scored.match_id;batsman_scored.over_id;batsman_scored.runs_scored;match.match_id;match.match_winner;player.player_id;player.player_name;player_match.match_id;player_match.player_id;player_match.team_id,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:23:56,,,,,,
local023,"Please help me find the names of top 5 players with the highest average runs per match in season 5, along with their batting averages.",azure/o3,,,,ball_by_ball;batsman_scored;match;player;player_match,ball_by_ball.ball_id;ball_by_ball.match_id;ball_by_ball.over_id;ball_by_ball.striker;batsman_scored.ball_id;batsman_scored.match_id;batsman_scored.over_id;batsman_scored.runs_scored;match.match_id;match.season_id;player.player_id;player.player_name;player_match.match_id;player_match.player_id,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:24:33,,,,,,
local024,"Can you help me find the top 5 countries whose players have the highest average of their individual average runs per match across all seasons? Specifically, for each player, calculate their average runs per match over all matches they played, then compute the average of these player averages for each country, and include these country batting averages in the result.",azure/o3,,,,ball_by_ball;batsman_scored;player;player_match,ball_by_ball.ball_id;ball_by_ball.match_id;ball_by_ball.over_id;ball_by_ball.striker;batsman_scored.ball_id;batsman_scored.match_id;batsman_scored.over_id;batsman_scored.runs_scored;player.country_name;player.player_id;player_match.match_id;player_match.player_id,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:25:09,,,,,,
local025,"For each match, considering every innings, please combine runs from both batsman scored and extra runs for each over, then identify the single over with the highest total runs, retrieve the bowler for that over from the ball by ball table, and calculate the average of these highest over totals across all matches, ensuring that all runs and bowler details are accurately reflected.",azure/o3,,,,ball_by_ball;batsman_scored;extra_runs;player,ball_by_ball.bowler;ball_by_ball.innings_no;ball_by_ball.match_id;ball_by_ball.over_id;batsman_scored.innings_no;batsman_scored.match_id;batsman_scored.over_id;batsman_scored.runs_scored;extra_runs.extra_runs;extra_runs.innings_no;extra_runs.match_id;extra_runs.over_id;player.player_id;player.player_name,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:25:40,,,,,,
local028,"Could you generate a report that shows the number of delivered orders for each month in the years 2016, 2017, and 2018? Each column represents a year, and each row represents a month",azure/o3,,,,olist_orders,olist_orders.order_delivered_customer_date;olist_orders.order_id;olist_orders.order_status,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:26:04,,,,,,
local031,"What is the highest monthly delivered orders volume in the year with the lowest annual delivered orders volume among 2016, 2017, and 2018?",azure/o3,,,,olist_orders,olist_orders.order_delivered_customer_date;olist_orders.order_id;olist_orders.order_status,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:26:33,,,,,,
local029,"Please identify the top three customers, based on their customer_unique_id, who have the highest number of delivered orders, and provide the average payment value, city, and state for each of these customers.",azure/o3,,,,olist_customers;olist_order_payments;olist_orders,olist_customers.customer_city;olist_customers.customer_id;olist_customers.customer_state;olist_customers.customer_unique_id;olist_order_payments.order_id;olist_order_payments.payment_value;olist_orders.customer_id;olist_orders.order_id;olist_orders.order_status,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:27:01,,,,,,
local030,"Among all cities with delivered orders, find the five cities whose summed payments are the lowest, then calculate the average of their total payments and the average of their total delivered order counts.",azure/o3,,,,olist_customers;olist_order_payments;olist_orders,olist_customers.customer_city;olist_customers.customer_id;olist_order_payments.order_id;olist_order_payments.payment_value;olist_orders.customer_id;olist_orders.order_delivered_customer_date;olist_orders.order_id,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:27:35,,,,,,
local032,"Could you help me find the sellers who excel in the following categories, considering only delivered orders: the seller with the highest number of distinct customer unique IDs, the seller with the highest profit (calculated as price minus freight value), the seller with the highest number of distinct orders, and the seller with the most 5-star ratings? For each category, please provide the seller ID and the corresponding value, labeling each row with a description of the achievement.",azure/o3,,,,olist_customers;olist_order_items;olist_order_reviews;olist_orders;olist_sellers,olist_customers.customer_id;olist_customers.customer_unique_id;olist_order_items.freight_value;olist_order_items.order_id;olist_order_items.price;olist_order_items.seller_id;olist_order_reviews.order_id;olist_order_reviews.review_score;olist_orders.customer_id;olist_orders.order_id;olist_orders.order_status;olist_sellers.seller_id,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T13:28:06,,,,,,
local034,"Could you help me calculate the average of the total number of payments made using the most preferred payment method for each product category, where the most preferred payment method in a category is the one with the highest number of payments?",azure/o3,,,,olist_order_items;olist_order_payments;olist_products,olist_order_items.order_id;olist_order_items.product_id;olist_order_payments.order_id;olist_order_payments.payment_type;olist_products.product_category_name;olist_products.product_id,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T14:03:45,,,,,,
local037,"Identify the top three product categories whose most commonly used payment type has the highest number of payments across all categories, and specify the number of payments made in each category using that payment type.",azure/o3,,,,olist_order_items;olist_order_payments;olist_products;product_category_name_translation,olist_order_items.order_id;olist_order_items.product_id;olist_order_payments.order_id;olist_order_payments.payment_type;olist_products.product_category_name;olist_products.product_id;product_category_name_translation.product_category_name;product_category_name_translation.product_category_name_english,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T14:04:19,,,,,,
local035,"In the “olist_geolocation” table, please identify which two consecutive cities, when sorted by geolocation_state, geolocation_city, geolocation_zip_code_prefix, geolocation_lat, and geolocation_lng, have the greatest distance between them based on the difference in distance computed between each city and its immediate predecessor in that ordering.",azure/o3,,,,olist_geolocation,olist_geolocation.geolocation_city;olist_geolocation.geolocation_lat;olist_geolocation.geolocation_lng;olist_geolocation.geolocation_state;olist_geolocation.geolocation_zip_code_prefix,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T14:04:40,,,,,,
local038,"Could you help me determine which actor starred most frequently in English-language children's category films that were rated either G or PG, had a running time of 120 minutes or less, and were released between 2000 and 2010? Please provide the actor's full name.",azure/o3,,,,actor;category;film;film_actor;film_category;language,actor.actor_id;actor.first_name;actor.last_name;category.category_id;category.name;film.film_id;film.language_id;film.length;film.rating;film.release_year;film.title;film_actor.actor_id;film_actor.film_id;film_category.category_id;film_category.film_id;language.language_id;language.name,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T14:05:13,,,,,,
local039,"Please help me find the film category with the highest total rental hours in cities where the city's name either starts with ""A"" or contains a hyphen. ",azure/o3,,,,address;category;city;customer;film_category;inventory;rental,address.address_id;address.city_id;category.category_id;category.name;city.city;city.city_id;customer.address_id;customer.customer_id;film_category.category_id;film_category.film_id;inventory.film_id;inventory.inventory_id;rental.customer_id;rental.inventory_id;rental.rental_date;rental.return_date,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T14:06:12,,,,,,
local040,"In the combined dataset that unifies the trees data with the income data by ZIP code, filling missing ZIP values where necessary, which three boroughs, restricted to records with median and mean income both greater than zero and a valid borough name, contain the highest number of trees, and what is the average mean income for each of these three boroughs?",azure/o3,,,,income_trees;trees,income_trees.Estimate_Mean_income;income_trees.Estimate_Median_income;income_trees.zipcode;trees.boroname;trees.tree_id;trees.zipcode,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T14:06:44,,,,,,
local041,What percentage of trees in the Bronx have a health status of Good?,azure/o3,,,,trees,trees.boroname;trees.health;trees.tree_id,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T14:07:13,,,,,,
local049,Can you help me calculate the average number of new unicorn companies per year in the top industry from 2019 to 2021?,azure/o3,,,,companies_dates;companies_funding;companies_industries,companies_dates.company_id;companies_dates.date_joined;companies_funding.company_id;companies_funding.valuation;companies_industries.company_id;companies_industries.industry,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T14:07:45,,,,,,
local054,"Could you tell me the first names of customers who spent less than $1 on albums by the best-selling artist, along with the amounts they spent?",azure/o3,,,,albums;customers;invoice_items;invoices;tracks,albums.AlbumId;albums.ArtistId;customers.CustomerId;customers.FirstName;invoice_items.InvoiceId;invoice_items.Quantity;invoice_items.TrackId;invoice_items.UnitPrice;invoices.CustomerId;invoices.InvoiceId;tracks.AlbumId;tracks.TrackId,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T14:08:23,,,,,,
local055,"Identify the artist with the highest overall sales of albums (tie broken by alphabetical order) and the artist with the lowest overall sales of albums (tie broken by alphabetical order), then calculate the amount each customer spent specifically on those two artists’ albums. Next, compute the average spending for the customers who purchased from the top-selling artist and the average spending for the customers who purchased from the lowest-selling artist, and finally return the absolute difference between these two averages.",azure/o3,,,,albums;artists;customers;invoice_items;invoices;tracks,albums.AlbumId;albums.ArtistId;artists.ArtistId;artists.Name;customers.CustomerId;invoice_items.InvoiceId;invoice_items.Quantity;invoice_items.TrackId;invoice_items.UnitPrice;invoices.CustomerId;invoices.InvoiceId;tracks.AlbumId;tracks.TrackId,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T14:08:52,,,,,,
local198,"Using the sales data, what is the median value of total sales made in countries where the number of customers is greater than 4?",azure/o3,,,,customers;invoices,customers.Country;customers.CustomerId;invoices.CustomerId;invoices.Total,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T14:09:22,,,,,,
local056,Which customer has the highest average monthly change in payment amounts? Provide the customer's full name.,azure/o3,,,,customer;payment,customer.customer_id;customer.first_name;customer.last_name;payment.amount;payment.customer_id;payment.payment_date,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T14:09:52,,,,,,
local058,"Can you provide a list of hardware product segments along with their unique product counts for 2020 in the output, ordered by the highest percentage increase in unique fact sales products from 2020 to 2021?",azure/o3,,,,hardware_dim_product;hardware_fact_sales_monthly,hardware_dim_product.product_code;hardware_dim_product.segment;hardware_fact_sales_monthly.fiscal_year;hardware_fact_sales_monthly.product_code,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T14:10:28,,,,,,
local059,"For the calendar year 2021, what is the overall average quantity sold of the top three best-selling hardware products (by total quantity sold) in each division?",azure/o3,,,,hardware_dim_product;hardware_fact_sales_monthly,hardware_dim_product.division;hardware_dim_product.product;hardware_dim_product.product_code;hardware_fact_sales_monthly.fiscal_year;hardware_fact_sales_monthly.product_code;hardware_fact_sales_monthly.sold_quantity,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T14:11:13,,,,,,
local060,"In the United States, for Q4 2019 and Q4 2020, first select only those cities where total sales (with no promotions) rose by at least 20% from Q4 2019 to Q4 2020. Among these cities, rank products by their overall sales (still excluding promotions) in those quarters and take the top 20%. Then compute each top product’s share of total sales in Q4 2019 and Q4 2020 and calculate the difference in share from Q4 2019 to Q4 2020, returning the results in descending order of that share change.",azure/o3,,,,countries;customers;products;promotions;sales;times,countries.country_id;countries.country_name;customers.country_id;customers.cust_city;customers.cust_city_id;customers.cust_id;products.prod_id;products.prod_name;promotions.promo_id;sales.amount_sold;sales.cust_id;sales.prod_id;sales.promo_id;sales.quantity_sold;sales.time_id;times.calendar_quarter_number;times.calendar_year;times.time_id,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T14:11:55,,,,,,
local063,"Among all products sold in the United States with promo_id=999, considering only those cities whose sales increased by at least 20% from Q4 2019 (calendar_quarter_id=1772) to Q4 2020 (calendar_quarter_id=1776), which product that ranks in the top 20% of total sales has the smallest percentage-point change in its share of total sales between these two quarters?",azure/o3,,,,countries;customers;products;sales;times,countries.country_id;countries.country_name;customers.country_id;customers.cust_city;customers.cust_city_id;customers.cust_id;products.prod_id;products.prod_name;sales.amount_sold;sales.cust_id;sales.prod_id;sales.promo_id;sales.time_id;times.calendar_quarter_id;times.calendar_year;times.time_id,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T14:12:40,,,,,,
local061,"What is the average projected monthly sales in USD for France in 2021, considering only product sales with promotions where promo_total_id = 1 and channels where channel_total_id = 1, by taking each product’s monthly sales from 2019 and 2020, calculating the growth rate from 2019 to 2020 for that same product and month, applying this growth rate to project 2021 monthly sales, converting all projected 2021 amounts to USD with the 2021 exchange rates, and finally averaging and listing them by month?",azure/o3,,,,channels;countries;currency;customers;products;promotions;sales;times,channels.channel_id;channels.channel_total_id;countries.country_id;countries.country_name;currency.country;currency.month;currency.to_us;currency.year;customers.country_id;customers.cust_id;products.prod_id;products.prod_name;promotions.promo_id;promotions.promo_total_id;sales.amount_sold;sales.channel_id;sales.cust_id;sales.prod_id;sales.promo_id;sales.time_id;times.calendar_month_number;times.calendar_year;times.time_id,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T14:13:18,,,,,,
local050,"What is the median of the average monthly projected sales in USD for France in 2021, calculated by using the monthly sales data from 2019 and 2020 (filtered by promo_total_id=1 and channel_total_id=1), applying the growth rate from 2019 to 2020 to project 2021, converting to USD based on the currency table, and then determining the monthly averages before finding their median?",azure/o3,,,,channels;countries;currency;customers;promotions;sales;times,channels.channel_id;channels.channel_total_id;countries.country_id;countries.country_name;currency.country;currency.month;currency.to_us;currency.year;customers.country_id;customers.cust_id;promotions.promo_id;promotions.promo_total_id;sales.amount_sold;sales.channel_id;sales.cust_id;sales.promo_id;sales.time_id;times.calendar_month_number;times.calendar_year;times.time_id,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T14:13:55,,,,,,
local062,"Please group all Italian customers into ten buckets for December 2021 by summing their profits from all products purchased (where profit is calculated as quantity_sold multiplied by the difference between unit_price and unit_cost), then divide the overall range of total monthly profits into ten equal intervals. For each bucket, provide the number of customers, and identify the minimum and maximum total profits within that bucket.",azure/o3,,,,costs;countries;customers;sales;times,costs.prod_id;costs.time_id;costs.unit_cost;costs.unit_price;countries.country_id;countries.country_iso_code;countries.country_name;customers.country_id;customers.cust_id;sales.cust_id;sales.prod_id;sales.quantity_sold;sales.time_id;times.calendar_month_number;times.calendar_year;times.time_id,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T14:14:32,,,,,,
local067,Can you provide the highest and lowest profits for Italian customers segmented into ten evenly divided tiers based on their December 2021 sales profits?,azure/o3,,,,costs;countries;currency;customers;sales;times,costs.prod_id;costs.time_id;costs.unit_cost;countries.country_id;countries.country_name;currency.country;currency.month;currency.to_us;currency.year;customers.country_id;customers.cust_first_name;customers.cust_id;customers.cust_last_name;sales.amount_sold;sales.cust_id;sales.prod_id;sales.quantity_sold;sales.time_id;times.calendar_month_desc;times.calendar_month_number;times.calendar_year;times.time_id,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T14:15:15,,,,,,
local070,"Please examine our database records for Chinese cities (country_code_2 = 'cn') during July 2021 and identify both the shortest and longest streaks of consecutive date entries. For each date in these streaks, return exactly one record per date along with the corresponding city name. In your output, please ensure the first letter of each city name is capitalized and the rest are lowercase. Display the dates and city names for both the shortest and longest consecutive date streaks, ordered by date.",azure/o3,,,,cities,cities.city_id;cities.city_name;cities.country_code_2;cities.insert_date,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T14:15:52,,,,,,
local071,Could you review our records in June 2022 and identify which countries have the longest streak of consecutive inserted city dates? Please list the 2-letter length country codes of these countries.,azure/o3,,,,cities,cities.city_id;cities.country_code_2;cities.insert_date,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T14:16:44,,,,,,
local072,"Identify the country with data inserted on nine different days in January 2022. Then, find the longest consecutive period with data insertions for this country during January 2022, and calculate the proportion of entries that are from its capital city within this longest consecutive insertion period.",azure/o3,,,,cities;cities_countries,cities.capital;cities.city_id;cities.city_name;cities.country_code_2;cities.insert_date;cities_countries.country_code_2;cities_countries.country_name,"{""candidates_total"": 0, ""chosen_ids"": """"}",2025-10-17T14:17:34,,,,,,
