instance_id,has_issues,table_count,column_count,sql_length,tables,columns,sql_preview
local003,True,7,9,2395,FrequencyScore; MonetaryScore; RFM; RecencyScore; customers; order_items; orders,RFM_Bucket; customer_id; customer_unique_id; last_purchase; order_id; order_purchase_timestamp; price; total_orders; total_spent,"WITH RecencyScore AS (
    SELECT customer_unique_id,
           MAX(order_purchase_timestamp) AS last_purchase,
           NTILE(5) OVER (ORDER BY MAX(order_purchase_timestamp) DESC) AS recency
    F..."
local007,True,1,3,452,player,INTEGER; debut; final_game,"SELECT 
    AVG(
        ROUND(ABS(CAST(strftime('%Y', final_game) AS INTEGER) - CAST(strftime('%Y', debut) AS INTEGER)), 2) +
        ROUND(ABS(CAST(strftime('%m', final_game) AS INTEGER) - CAST(strf..."
local010,True,5,16,1986,airports_data; avg_pair_distances; binned_pairs; city_pair_distances; flights,REAL; airport_code; arr.airport_code; arr.city; arr.coordinates; arr_city_en; avg_pair_distances; city; coordinates; dep.airport_code; dep.city; dep.coordinates; dep_city_en; distance_km; f.arrival_airport; f.departure_airport,"-- Execution Query for local010
-- Timestamp: 20250922_103948
-- Generated by SQL Agent

WITH city_pair_distances AS (
  SELECT
    json_extract(dep.city, '$.en') AS dep_city_en,
    json_extract(arr...."
local015,True,5,12,2149,collision_helmet_summary; collisions; helmet_stats; motorcycle_helmet_status; parties,c.case_id; c.motorcycle_collision; c.motorcyclist_killed_count; case_id; collision; final_helmet_status; motorcyclist_killed_count; p.case_id; p.party_safety_equipment_1; p.party_safety_equipment_2; percent_killed_helmet_used; total_collisions,"WITH motorcycle_helmet_status AS (
    -- Get all motorcycle collisions and their helmet usage status
    SELECT DISTINCT
        c.case_id,
        c.motorcyclist_killed_count,
        CASE 
        ..."
local017,True,8,17,1472,AnnualTotals; CategoryPercentages; CategoryTotals; RankedCategories; TopTwoCategories; UniqueYear; collisions; results,AnnualTotal; Category; CategoryPercentages; PercentageOfAnnualRoadIncidents; Year; at.AnnualTotal; at.Year; case_id; collision_date; ct.Category; ct.Subtotal; ct.Year; rc.Category; rc.PercentageOfAnnualRoadIncidents; rc.Rank; rc.Year; u.Year,"WITH AnnualTotals AS (
    SELECT 
        STRFTIME('%Y', collision_date) AS Year, 
        COUNT(case_id) AS AnnualTotal
    FROM 
        collisions
    GROUP BY 
        Year
),
CategoryTotals AS (..."
local021,False,6,25,1009,ball_by_ball; batsman_scored; player; qualified_strikers; striker_career_totals; striker_match_totals,FLOAT; bb.ball_id; bb.innings_no; bb.match_id; bb.over_id; bb.striker; bs.ball_id; bs.innings_no; bs.match_id; bs.over_id; bs.runs_scored; innings_no; match_id; p.player_id; p.player_name; player_name; qs.striker; qs.striker_name; runs_scored; smt.striker; smt.total_runs_in_match; striker; striker_name; total_career_runs; total_runs_in_match,"WITH striker_match_totals AS (
    SELECT 
        bb.striker,
        p.player_name as striker_name,
        bb.match_id,
        SUM(bs.runs_scored) as total_runs_in_match
    FROM ball_by_ball bb
 ..."
local023,False,7,21,1103,ball_by_ball; batsman_scored; batting_averages; match; player; runs_scored; total_runs,FLOAT; b.batting_avg; b.player_id; bb.ball_id; bb.innings_no; bb.match_id; bb.over_id; bb.striker; bs.ball_id; bs.innings_no; bs.match_id; bs.over_id; bs.runs_scored; match_id; num_matches; p.player_id; p.player_name; player_id; player_name; runs; total_runs,"WITH runs_scored AS (
    SELECT 
        bb.striker AS player_id,
        bb.match_id,
        bs.runs_scored AS runs
    FROM 
        ball_by_ball AS bb
    JOIN 
        batsman_scored AS bs ON bb..."
local024,True,6,25,1103,ball_by_ball; batsman_scored; country_averages; player; player_averages; player_match_runs,FLOAT; avg_runs_per_match; bb.ball_id; bb.innings_no; bb.match_id; bb.over_id; bb.striker; bs.ball_id; bs.innings_no; bs.match_id; bs.over_id; bs.runs_scored; country_name; match_id; match_runs; p.country_name; p.player_id; pa.avg_runs_per_match; pa.player_id; player_id; players_count; runs_scored; striker; total_matches; total_runs,"WITH player_match_runs AS (
    SELECT 
        bb.striker as player_id,
        bb.match_id,
        SUM(bs.runs_scored) as match_runs
    FROM ball_by_ball bb
    JOIN batsman_scored bs ON bb.match_..."
local026,True,7,35,1274,ball_by_ball; batsman_scored; extra_runs; match_max_runs; max_runs_overs; over_runs; player,bb.ball_id; bb.bowler; bb.innings_no; bb.match_id; bb.over_id; bowler; bs.ball_id; bs.innings_no; bs.match_id; bs.over_id; bs.runs_scored; er.ball_id; er.extra_runs; er.innings_no; er.match_id; er.over_id; extra_runs; innings_no; match_id; max_runs_in_match; mmr.match_id; mmr.max_runs_in_match; mro.bowler; mro.match_id; mro.total_runs_conceded; or1.bowler; or1.innings_no; or1.match_id; or1.over_id; or1.total_runs_conceded; over_id; p.player_id; p.player_name; runs_scored; total_runs_conceded,"WITH over_runs AS (
    SELECT 
        bb.match_id,
        bb.over_id,
        bb.innings_no,
        bb.bowler,
        COALESCE(SUM(bs.runs_scored), 0) + COALESCE(SUM(er.extra_runs), 0) as total_r..."
local032,False,8,18,2023,distinct_customers; distinct_orders; five_star_ratings; highest_profit; olist_customers; olist_order_items; olist_order_reviews; olist_orders,Description; Seller_ID; c.customer_id; c.customer_unique_id; customer_unique_id; freight_value; o.customer_id; o.order_id; o.order_status; oi.freight_value; oi.order_id; oi.price; oi.seller_id; order_id; r.order_id; r.review_score; seller_id; value,"WITH distinct_customers AS (
    SELECT 
        oi.seller_id,
        COUNT(DISTINCT c.customer_unique_id) as metric_value
    FROM olist_orders o
    JOIN olist_order_items oi ON o.order_id = oi.ord..."
local037,False,6,12,1039,olist_order_items; olist_order_payments; olist_products; payment_category; payment_counts; ranked_payments,Category_name; i.order_id; i.product_id; order_id; p.order_id; p.payment_type; payment_count; payment_counts; payment_type; pr.product_category_name; pr.product_id; product_category_name,"-- Execution Query for local037
-- Timestamp: 20250922_105109
-- Generated by SQL Agent

WITH payment_category AS (
    SELECT DISTINCT
        p.order_id,
        p.payment_type,
        pr.product_c..."
local056,False,5,13,918,customer; customer_avg_change; monthly_changes; monthly_sums; payment,amount; c.customer_id; c.first_name; c.last_name; cac.avg_monthly_change; cac.customer_id; customer_id; last_name; month_amount; monthly_sums; payment_date; prev_month_amount; year_month,"-- Execution Query for local056
-- Timestamp: 20250922_105040
-- Generated by SQL Agent

WITH monthly_sums AS (
    SELECT
        customer_id,
        strftime('%Y-%m', payment_date) AS year_month,
 ..."
local059,True,5,11,868,hardware_dim_product; hardware_fact_sales_monthly; product_sales_2021; ranked_products; top3_products,REAL; division; p.division; p.product_code; product_code; product_sales_2021; s.date; s.product_code; s.sold_quantity; sold_quantity; total_quantity_sold,"WITH product_sales_2021 AS (
    SELECT 
        p.division,
        p.product_code,
        SUM(s.sold_quantity) as total_quantity_sold
    FROM hardware_fact_sales_monthly s
    JOIN hardware_dim_pr..."
local060,True,9,31,2905,customers; product_sales; product_shares; products; qualifying_cities; sales; times; top_products; total_sales_by_year,INTEGER; amount_sold; c.country_id; c.cust_city; c.cust_id; cust_city; p.prod_id; p.prod_name; prod_id; prod_name; product_sales; ps.prod_id; ps.sales_2019; ps.sales_2020; qualifying_cities; rn; s.amount_sold; s.cust_id; s.prod_id; s.promo_id; s.time_id; sales_2019; t.calendar_month_number; t.calendar_year; t.time_id; top_products; total_2019; total_2020; total_sales; ts.total_2019; ts.total_2020,"-- Execution Query for local060
-- Timestamp: 20250921_175649
-- Generated by SQL Agent

WITH qualifying_cities AS (
    SELECT cust_city
    FROM (
        SELECT
            c.cust_city,
           ..."
local064,True,9,21,1746,avg_balances; customer_months; customer_transactions; customers; extremes; final; month_end_balances; month_positive_counts; months,avg_balance; avg_balances; c.customer_id; cm.customer_id; cm.month; ct.customer_id; ct.txn_amount; ct.txn_date; ct.txn_type; customer_id; customer_transactions; e.month; m; m.month; mb.month; mb.month_end_balance; month; month_end_balance; month_positive_counts; positive_count; txn_date,"-- Execution Query for local064
-- Timestamp: 20250922_105953
-- Generated by SQL Agent

WITH months AS (
    SELECT '2020-01' AS month
    UNION ALL
    SELECT strftime('%Y-%m', date(month || '-01', ..."
local066,True,9,26,3382,cte_base_toppings; cte_cleaned_customer_orders; cte_combined_orders; pizza_clean_customer_orders; pizza_recipes; pizza_toppings; split_exclusions; split_extras; split_regular_toppings,cte_base_toppings.order_id; customer_id; exclusions; extras; order_id; order_time; original_row_number; pizza_clean_customer_orders; pizza_id; remaining_exclusions; remaining_extras; remaining_toppings; split_exclusions.order_id; split_extras; t1.customer_id; t1.order_id; t1.order_time; t1.original_row_number; t1.pizza_id; t1.topping_id; t2.pizza_id; t2.topping_id; t2.topping_name; topping_id; topping_name; toppings,"WITH cte_cleaned_customer_orders AS (
    SELECT
        *,
        ROW_NUMBER() OVER () AS original_row_number
    FROM 
        pizza_clean_customer_orders
),
split_regular_toppings AS (
    SELECT
..."
local067,True,6,23,880,costs; customers; italian_profits; sales; tiered_customers; times,bucket; c.country_id; c.cust_id; co.channel_id; co.prod_id; co.promo_id; co.time_id; co.unit_cost; cust_id; italian_profits; max_profit; quantity_sold; s.amount_sold; s.channel_id; s.cust_id; s.prod_id; s.promo_id; s.quantity_sold; s.time_id; t.calendar_month_number; t.calendar_year; t.time_id; total_profit,"WITH italian_profits AS (
    SELECT 
        c.cust_id,
        SUM(s.amount_sold - (co.unit_cost * s.quantity_sold)) as total_profit
    FROM customers c
    JOIN sales s ON c.cust_id = s.cust_id
  ..."
local070,True,6,24,1490,cities; date_analysis; min_max_streaks; streak_groups; streak_lengths; target_streaks,c.city_id; c.city_name; c.country_code_2; c.insert_date; city_id; city_name; date_analysis; day_number; insert_date; max_length; min_length; mms.max_length; mms.min_length; most_consecutive_dates; sl.streak_end; sl.streak_length; sl.streak_start; streak_end; streak_group; streak_length; streak_lengths; streak_start; ts.streak_end; ts.streak_start,"WITH date_analysis AS (
    SELECT 
        insert_date,
        julianday(insert_date) - julianday('2021-07-01') as day_number,
        ROW_NUMBER() OVER (ORDER BY insert_date) as row_num
    FROM (
..."
local074,True,6,17,1465,customer_months; customer_transactions; customers; monthly_balances; monthly_transactions; months,PRECEDING; balance_activity; c.customer_id; cm.customer_id; cm.month_year; customer_id; customer_transactions; generated_month; m; m.month_year; month_end_balance; month_year; monthly_net_amount; mt.customer_id; mt.month_year; mt.monthly_net_amount; txn_date,"WITH months AS (
    SELECT '2020-01' as month_year
    UNION ALL SELECT '2020-02'
    UNION ALL SELECT '2020-03'
    UNION ALL SELECT '2020-04'
),
customers AS (
    SELECT DISTINCT customer_id FROM ..."
local075,True,5,15,2156,product_abandoned; product_purchased; product_viewed; shopping_cart_events; shopping_cart_page_hierarchy,n_page_views; page_id; page_name; t1.page_id; t1.page_name; t1.product_id; t2.n_added_to_cart; t2.n_page_views; t2.page_id; t2.visit_id; t3.page_id; t3.purchased_from_cart; t4.abandoned_in_cart; t4.page_id; visit_id,"WITH product_viewed AS (
    SELECT
        t1.page_id,
        SUM(CASE WHEN event_type = 1 THEN 1 ELSE 0 END) AS n_page_views,
        SUM(CASE WHEN event_type = 2 THEN 1 ELSE 0 END) AS n_added_to_c..."
local077,True,4,27,1501,base; interest_map; interest_metrics; monthly_top,_month; _year; base; idx_comp; im.id; im.interest_name; im1.id; im1.interest_name; im2.id; im2.interest_name; interest_id; interest_name; la1._month; la1._year; la1.idx_comp; la1.interest_id; la2._month; la2._year; la2.idx_comp; la2.interest_id; max_index_composition; month_year; mt._month; mt._year; mt.idx_comp; mt.interest_id; mt.month_year,"-- Execution Query for local077
-- Timestamp: 20250917_143523
-- Generated by SQL Agent

WITH base AS (
  SELECT 
    _year,
    _month,
    month_year,
    interest_id,
    composition * 1.0 / index_..."
local078,True,5,8,948,get_bottom_10; get_interest_rank; get_top_10; interest_map; interest_metrics,composition; interest_name; month_year; t1.composition; t1.interest_id; t1.month_year; t2.id; t2.interest_name,"WITH get_interest_rank AS (
    SELECT
        t1.month_year,
        t2.interest_name,
        t1.composition,
        RANK() OVER (
            PARTITION BY t2.interest_name
            ORDER BY t1...."
local097,True,3,8,568,Movie; MovieYears; StartYears,DECADE_OF; INTEGER; MID; MovieYears; my.MID; my.movie_year; sy.start_year; year,"-- Execution Query for local097
-- Timestamp: 20250922_115338
-- Generated by SQL Agent

WITH MovieYears AS (
  SELECT
    MID,
    CAST(SUBSTR(year, -4, 4) AS INTEGER) AS movie_year
  FROM Movie
  WH..."
local099,True,8,21,1514,ACTORS_MOV_COMPARISION; MAX_MOV_BY_OTHER_DIRECTORS; M_Cast; M_Director; NUM_OF_MOVIES_BY_YC; NUM_OF_MOV_BY_ACTOR_DIRECTOR; Person; YASH_CHOPRAS_PID,ACTOR_PID; DIRECTOR_PID; MAX_NUM_OF_MOV; MC.MID; MC.PID; MD.MID; MD.PID; MID; NM.ACTOR_PID; NM.DIRECTOR_PID; NM.NUM_OF_MOV; NMO.ACTOR_PID; NMO.MAX_NUM_OF_MOV; NMY.ACTOR_PID; NMY.NUM_OF_MOV_BY_YC; NUM_OF_MOV; Name; P.Name; P.PID; PID; YCP.PID,"WITH YASH_CHOPRAS_PID AS (
    SELECT
        TRIM(P.PID) AS PID
    FROM
        Person P
    WHERE
        TRIM(P.Name) = 'Yash Chopra'
),
NUM_OF_MOV_BY_ACTOR_DIRECTOR AS (
    SELECT
        TRIM(M..."
local130,True,7,21,1502,Classes; Student_Schedules; Students; Subjects; english_completions; quintile_assignments; ranked_students,Grade; LastName; REAL; c.ClassID; c.SubjectID; ec1; ec1.Grade; ec2.Grade; english_completions; percentile; rank_position; ranked_students; s.CategoryID; s.SubjectID; ss.ClassID; ss.ClassStatus; ss.Grade; ss.StudentID; st.StudLastName; st.StudentID; total_students,"WITH english_completions AS (
    SELECT DISTINCT 
        st.StudLastName as LastName,
        ss.Grade
    FROM Student_Schedules ss
    JOIN Students st ON ss.StudentID = st.StudentID
    JOIN Clas..."
local131,True,2,16,1192,Musical_Preferences; Musical_Styles,FirstPreference; FirstStyle; Musical_Preferences; Musical_Preferences.PreferenceSeq; Musical_Preferences.StyleID; Musical_Styles; Musical_Styles.StyleID; Musical_Styles.StyleName; RankedPreferences.FirstStyle; RankedPreferences.SecondStyle; RankedPreferences.ThirdStyle; SecondPreference; SecondStyle; StyleID; StyleName; ThirdStyle,"SELECT 
  Musical_Styles.StyleName,
  COUNT(RankedPreferences.FirstStyle)
    AS FirstPreference,
  COUNT(RankedPreferences.SecondStyle)
    AS SecondPreference,
  COUNT(RankedPreferences.ThirdStyle)
..."
local141,True,4,16,881,SalesPersonQuotaHistory; annual_quotas; annual_sales; salesorderheader,BusinessEntityID; QuotaDate; SalesPersonID; SalesQuota; SalesQuotaYear; SalesYear; TotalSales; orderdate; q.SalesPersonID; q.SalesQuota; q.SalesQuotaYear; s.SalesPersonID; s.SalesYear; s.TotalSales; salespersonid; totaldue,"WITH annual_sales AS (
    SELECT 
        salespersonid as SalesPersonID,
        strftime('%Y', orderdate) as SalesYear,
        ROUND(SUM(totaldue), 4) as TotalSales
    FROM salesorderheader 
    ..."
local157,False,2,15,1774,bitcoin_prices; parsed,INTEGER; bitcoin_prices; market_date; p1.market_date; p1.parsed_date; p1.parsed_volume; p1.ticker; p1.volume; p2.parsed_date; p2.parsed_volume; p2.ticker; parsed_date; previous_volume; ticker; volume,"-- Execution Query for local157
-- Timestamp: 20250922_093042
-- Generated by SQL Agent

WITH parsed AS (
  SELECT
    ticker,
    market_date,
    volume,
    CAST(SUBSTR(market_date, 7, 4) || SUBSTR..."
local194,True,8,18,785,film; film_actor; film_actor_counts; film_revenue; inventory; payment; rental; rev_per_actor_calc,amount; f.film_id; f.title; fac.actor_count; fac.film_id; film_id; fr.film_id; fr.total_revenue; i.film_id; i.inventory_id; p.amount; p.rental_id; r.inventory_id; r.rental_id; rev_per_actor; rpa.film_id; rpa.rev_per_actor; title,"-- Execution Query for local194
-- Timestamp: 20250917_225313
-- Generated by SQL Agent

WITH film_revenue AS (
  SELECT
    i.film_id,
    SUM(p.amount) AS total_revenue
  FROM inventory i
  JOIN ren..."
local196,False,7,24,1103,customer_first_movie_rating; customer_first_payment; customer_spending_totals; film; inventory; payment; rental,amount; avg_spend; cfmr.customer_id; cfmr.first_movie_rating; cfp.customer_id; cfp.first_payment_date; cst.customer_id; cst.subsequent_rentals; cst.total_amount_spent; customer_id; f.film_id; f.rating; first_payment_date; i.film_id; i.inventory_id; p.customer_id; p.payment_date; p.rental_id; payment_date; r.inventory_id; r.rental_id; rating; subsequent_rentals; total_amount_spent,"WITH customer_first_payment AS (
    SELECT 
        customer_id,
        MIN(payment_date) as first_payment_date
    FROM payment
    GROUP BY customer_id
),
customer_first_movie_rating AS (
    SELE..."
local199,True,5,12,847,RENTAL; STAFF; monthly_sales; result_table; store_max_sales,RE.RENTAL_DATE; RE.RENTAL_ID; RE.STAFF_ID; RENTAL_DATE; RENTAL_ID; RENTAL_MONTH; ST.STAFF_ID; ST.STORE_ID; STORE_ID; YEAR; monthly_sales; total_rentals,"WITH result_table AS (
  SELECT 
    strftime('%Y', RE.RENTAL_DATE) AS YEAR, 
    strftime('%m', RE.RENTAL_DATE) AS RENTAL_MONTH, 
    ST.STORE_ID, 
    COUNT(RE.RENTAL_ID) AS count 
  FROM 
    RENTA..."
local201,False,6,11,1037,all_words; anagram_counts; base_words; signatures; split_chars; word_list,a.len; a.signature; a.word; b.len; b.signature; b.word; char; len; pos; word; words,"-- Execution Query for local201
-- Timestamp: 20250922_094114
-- Generated by SQL Agent

WITH all_words AS (
  SELECT words AS word, LENGTH(words) AS len
  FROM word_list
  WHERE LENGTH(words) BETWEEN..."
local219,True,7,121,3811,league; match; match_score; match_view; player; team; winning_matches,L.id; L.name; M.Winning_match; M.away_player_1; M.away_player_10; M.away_player_11; M.away_player_2; M.away_player_3; M.away_player_4; M.away_player_5; M.away_player_6; M.away_player_7; M.away_player_8; M.away_player_9; M.away_team_api_id; M.away_team_goal; M.card; M.goal; M.home_player_1; M.home_player_10; M.home_player_11; M.home_player_2; M.home_player_3; M.home_player_4; M.home_player_5; M.home_player_6; M.home_player_7; M.home_player_8; M.home_player_9; M.home_team_api_id; M.home_team_goal; M.id; M.league_id; M.match_api_id; M.season; M.team; MV.id; MV.league; P1.player_api_id; P1.player_name; P10.player_api_id; P10.player_name; P11.player_api_id; P11.player_name; P12.player_api_id; P12.player_name; P13.player_api_id; P13.player_name; P14.player_api_id; P14.player_name; P15.player_api_id; P15.player_name; P16.player_api_id; P16.player_name; P17.player_api_id; P17.player_name; P18.player_api_id; P18.player_name; P19.player_api_id; P19.player_name; P2.player_api_id; P2.player_name; P20.player_api_id; P20.player_name; P21.player_api_id; P21.player_name; P22.player_api_id; P22.player_name; P3.player_api_id; P3.player_name; P4.player_api_id; P4.player_name; P5.player_api_id; P5.player_name; P6.player_api_id; P6.player_name; P7.player_api_id; P7.player_name; P8.player_api_id; P8.player_name; P9.player_api_id; P9.player_name; T.team_api_id; T.team_long_name; TM.team_api_id; TM.team_long_name; away_center_back_1; away_center_back_2; away_center_forward; away_gk; away_left_back; away_midfield_1; away_midfield_2; away_midfield_3; away_midfield_4; away_right_back; away_second_forward; away_team; away_team_goal; goal; home_center_back_1; home_center_back_2; home_center_forward; home_gk; home_left_back; home_midfield_1; home_midfield_2; home_midfield_3; home_midfield_4; home_right_back; home_second_forward; home_team; home_team_goal; id; league; match_api_id; match_view; player_api_id; season; team; wins,"WITH match_view AS(
SELECT
    M.id,
    L.name AS league,
    M.season,
    M.match_api_id,
    T.team_long_name AS home_team,
    TM.team_long_name AS away_team,
    M.home_team_goal,
    M.away_tea..."
local228,False,9,45,1956,ball_by_ball; batsman_scored; batsman_stats; bowler_stats; match; player; top_batsmen; top_bowlers; wicket_taken,b.batsman_rank; b.player_id; b.player_name; b.season_id; b.total_runs; batsman_id; batsman_name; batsman_stats; bb.ball_id; bb.bowler; bb.innings_no; bb.match_id; bb.over_id; bb.striker; bowler; bowler_id; bowler_name; bowler_stats; bs.ball_id; bs.innings_no; bs.match_id; bs.over_id; bs.runs_scored; m.match_id; m.season_id; p.player_id; p.player_name; player_id; player_name; position; runs_scored; season_id; striker; total_runs; total_wickets; w.bowler_rank; w.player_id; w.player_name; w.season_id; w.total_wickets; wt.ball_id; wt.innings_no; wt.kind_out; wt.match_id; wt.over_id,"WITH batsman_stats AS (
    SELECT 
        m.season_id,
        bb.striker as player_id,
        p.player_name,
        SUM(bs.runs_scored) as total_runs
    FROM ball_by_ball bb
    JOIN batsman_sco..."
local229,True,7,40,3403,ball_by_ball; ball_data; batsman_scored; final_ordered; highest_partnerships; max_partnerships; partnership_stats,b.ball_id; b.innings_no; b.match_id; b.non_striker; b.over_id; b.striker; ball_id; bs.ball_id; bs.innings_no; bs.match_id; bs.over_id; bs.runs_scored; highest_partnerships; identification; innings_no; match_id; max_partnership_runs; mp.match_id; mp.max_partnership_runs; non_striker; over_id; partnership_pair; player1; player1_id; player2_id; player_a; player_a_runs; player_b; player_b_runs; ps.match_id; ps.player_a; ps.player_a_runs; ps.player_b; ps.player_b_runs; ps.total_partnership_runs; runs1; runs2; runs_scored; striker; total_partnership_runs,"WITH ball_data AS (
    SELECT b.match_id, b.over_id, b.ball_id, b.innings_no,
           b.striker, b.non_striker, bs.runs_scored,
           -- Create a partnership identifier by sorting the two bat..."
local244,False,4,17,1115,InvoiceLine; Track; category_stats; track_revenue,From_Minutes; LengthCateg; Milliseconds; Quantity; To_Minutes; TrackId; duration_minutes; il.Quantity; il.TrackId; il.UnitPrice; length_category; max_minutes; min_minutes; t.Milliseconds; t.TrackId; total_revenue; track_revenue,"WITH track_revenue AS (
    SELECT 
        t.TrackId,
        t.Milliseconds,
        t.Milliseconds / 60000.0 AS duration_minutes,
        CASE 
            WHEN t.Milliseconds <= 197335 THEN 'Short..."
local253,False,5,15,1157,AvgSalaryByCompanyLocation; CleanedSalary; NationalAvgSalary; RankedCompanies; SalaryDataset,AvgSalaryByCompanyLocation; CleanedSalary; CompanyName; Location; REAL; Salary; avg_sal_state; companyname; location; n.CompanyName; n.avg_salary_country; r.CompanyName; r.Location; r.avg_sal_state; r.rn,"-- Execution Query for local253
-- Timestamp: 20250922_122105
-- Generated by SQL Agent

WITH CleanedSalary AS (
  SELECT
    CompanyName,
    Location,
    CAST(REPLACE(REPLACE(REPLACE(Salary, 'â‚¹', '..."
local264,True,3,15,560,best_trad; model; model_score,L1_model; bt.name; bt.rn; bt.version; m.L1_model; m.name; m.version; ms.model; ms.name; ms.step; ms.test_score; ms.version; name; step; version,"-- Execution Query for local264
-- Timestamp: 20250917_171756
-- Generated by SQL Agent

WITH best_trad AS (
  SELECT
    ms.name,
    ms.version,
    ms.step,
    ROW_NUMBER() OVER (
      PARTITION ..."
local274,True,2,8,228,picking_line; products,p.id; p.name; pline.order_id; pline.product_id; pline.qty; product_id; product_name; qty,"SELECT 
    p.name as product_name,
    ROUND(AVG(pline.qty), 4) as avg_units_picked
FROM picking_line pline
JOIN products p ON p.id = pline.product_id
WHERE pline.order_id = 421
GROUP BY pline.produc..."
local283,False,6,21,1423,Country; League; Match; Team; ranked_seasons; team_points,Match; c.id; c.name; country_id; country_name; l.country_id; l.id; l.name; league_id; league_name; points; season; t.team_api_id; t.team_long_name; team; team_api_id; total_points; tp.league_id; tp.season; tp.team_api_id; tp.total_points,"-- Execution Query for local283
-- Timestamp: 20250918_231748
-- Generated by SQL Agent

WITH team_points AS (
  SELECT
    season,
    league_id,
    team_api_id,
    SUM(points) AS total_points
  FR..."
local300,True,8,15,2362,customer_dates; customer_ranges; customer_transactions; daily_balances; daily_transactions; dates; monthly_max_balances; monthly_totals,CTE; PRECEDING; cd.customer_id; cd.txn_date; customer_id; daily_balance; daily_net_amount; dt.customer_id; dt.daily_net_amount; dt.txn_date; earliest_date; latest_date; max_daily_balance; month; txn_date,"WITH 
-- Step 1: Get customer date ranges
customer_ranges AS (
    SELECT 
        customer_id,
        MIN(txn_date) as earliest_date,
        MAX(txn_date) as latest_date
    FROM customer_transacti..."
local301,True,1,8,1906,cleaned_weekly_sales,add_delta_weeks; after_effect; before_effect; change_amount; cleaned_weekly_sales; delta_weeks; percent_change; week_date,"SELECT 
    before_effect,
    after_effect,
    after_effect - before_effect AS change_amount,
    ROUND(((after_effect * 1.0 / before_effect) - 1) * 100, 2) AS percent_change,
    '2018' AS year
FRO..."
local310,True,7,16,1078,combined_totals; constructor_yearly_totals; driver_yearly_totals; max_constructor_per_year; max_driver_per_year; races; results,c.max_constructor_points; c.year; constructor_id; d.max_driver_points; d.year; driver_id; max_constructor_points; points; r.race_id; r.year; res.constructor_id; res.driver_id; res.points; res.race_id; total_points; year,"WITH driver_yearly_totals AS (
    SELECT 
        r.year,
        res.driver_id,
        SUM(res.points) as total_points
    FROM results res
    LEFT JOIN races r ON res.race_id = r.race_id
    GROU..."
local311,False,7,26,1331,best_driver_points; combined_points; constructors; driver_season_points; races; results; team_season_points,bdp.best_driver_points; bdp.constructor_id; bdp.year; c.constructor_id; c.name; constructor; constructor_id; cp.combined_points; cp.constructor_id; cp.year; driver_id; driver_points; dsp.constructor_id; dsp.driver_points; dsp.year; points; r.race_id; r.year; res.constructor_id; res.driver_id; res.points; res.race_id; tsp.constructor_id; tsp.team_points; tsp.year; year,"-- Execution Query for local311
-- Timestamp: 20250922_121941
-- Generated by SQL Agent

WITH driver_season_points AS (
    SELECT
        r.year,
        res.constructor_id,
        res.driver_id,
  ..."
local329,True,3,5,404,confirm_visits; form_log; input_visits,c.confirm_time; c.session; i.input_time; i.session; session,"WITH input_visits AS (
    SELECT DISTINCT session, stamp as input_time
    FROM form_log 
    WHERE path = '/regist/input'
),
confirm_visits AS (
    SELECT DISTINCT session, stamp as confirm_time
  ..."
